0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:54 +0530] "GET /LetzChat/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:54 +0530] "GET /LetzChat/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:54 +0530] "GET /LetzChat/Controller/GroupController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:54 +0530] "GET /LetzChat/Controller/GroupService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:54 +0530] "GET /LetzChat/lib/ng-file-upload-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:14:01 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:14:01 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:14:02 +0530] "GET /LetzChat/Home/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:14:02 +0530] "GET /LetzChat/Chat/ChatHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:18:04 +0530] "GET /LetzChat/User/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:18:40 +0530] "POST /LetzChatBE//ValidateUserCredentials HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:18:49 +0530] "GET /LetzChatBE//ValidateUserLogout HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:18:53 +0530] "GET /LetzChat/User/Reg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:16 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:16 +0530] "GET /LetzChat/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:34 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:34 +0530] "GET /LetzChat/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:35 +0530] "GET /LetzChat/lib/upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/lib/ng-file-upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/lib/ng-file-upload-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Controller/GroupController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Controller/GroupService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Home/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:36 +0530] "GET /LetzChat/Chat/ChatHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:44 +0530] "GET /LetzChat/Header/Home.html HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:22:52 +0530] "GET /LetzChat/Header/Home.html HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:00 +0530] "GET /LetzChat/Header/Home.html HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:42 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:43 +0530] "GET /LetzChat/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/ng-file-upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/lib/ng-file-upload-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Controller/GroupController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Controller/GroupService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Home/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/Home/Home.html HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/resources/chat1.jpg HTTP/1.1" 200 9329
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/resources/chat2.png HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/resources/chat3.jpg HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/resources/chat7.jpg HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:23:50 +0530] "GET /LetzChat/resources/chat5.jpg HTTP/1.1" 200 11919
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:08 +0530] "GET /LetzChat/Header/Home.html HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:19 +0530] "GET /LetzChat/Header/Home.html HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:24:28 +0530] "GET /LetzChat/lib/angular-resource.js HTTP/1.1" 304 -
